Question,Answer1,Answer2,Answer3,Answer4,Correct
राणाकालमा पहाडमा प्रत्येक थुमको प्रशासन हेर्न को रहेन व्यवस्था थियो ?,खरिदार,उमराब,सुब्बा,अमाली,
टंकप्रसाद आचार्य कहिले नेपालको प्रधानमन्त्री भए ?,२०१२ माघ ११,२०१२ माघ १५,२०१५ माघ २०,२०१२ माघ १३,
नेपाल बारुदी सुरुङ्ग मुक्त क्षेत्र (Landmine Field Free Country) घोषणा हुँदा नेपालका प्रधानमन्त्री को थिए ?,Girija Prasad Koirala,Baburam Bhattarai,Jhalanath Khanal,Madhav Kumar Nepal,
महिला माथि दुरब्वोहार गरेको आरोपमा राजीनामा दिने कृषि मन्त्री को हुन् ?,हरि पराजुली,हरि कार्की,गोबिन्‍द पराजुली,राधेश्याम कार्की,
अरस्तुले आफ्नो प्रसिद्ध ग्रन्थ The Politics के को बर्णन गरेका छन् ?,प्रजातन्त्र,सरकार र संसद,गणतन्त्र,सरकार र संबिधान,
राजतन्त्र भएको एकमात्र सार्क राष्ट्र कुन हो ? (Data of 2014),Bhutan,Maldives,Afganisthan,India,
"""Democracy is to the people,by the people and for the people"" यो कसको भनाइ हो ?",Carl marx,राजा बिरेन्द्र,Abraham Lincoln,महात्मा गान्धी,
नेपालमा सर्वप्रथम लोक सेवा आयोग को गठन कहिले भएको हो ?,२००५,२००८,२००६,२००४,
कालापत्थरमा कहिले मन्त्रीपरिषद्को बैठक बसेको थियो ?,2066 Bhadra 20,2066 Magh 15,2066 Mangshir 19,2066 Falgun 25,
लिछ्बिकालमा प्रहरी प्रमुखलाई के भनिन्थ्यो ?,भटनायक,धर्माधीकार,दण्डनायक,मुलनायक,
श्री ५ महाराजधिराज लाई ३१ तोप र श्री ५ युवराजधिराज लाई २१ तोपको सलामी दिने चलन कसले चलाएका हुन् ?,Chandra Samsher,Bhim Samsher,Juddha Samsher,Bir Samsher,
बढि महिला सैनिक भएको देशः,China,Russia,Israel,USA,
अन्चालाधिस पदलाई कहिले संवैधानिक बनाइएको थियो ?,२०२३,२०३५,२०३२,२०१८,
नेपालमा सर्बप्रथम रोप-वे निर्माण गराउने को हुन् ?,Dev Shamsher,Chandra Shamsher,Mohan Shamsher,Padma Shamsher,
नेपालका सार्वप्रथम महिला उपसभामुख को हुन् ?,लिला श्रेष्ठ(सुब्बा),सैलाजा आचार्य,नायक देवी,ओनसरी घर्ती,
विशव व्यापार संगठनको पहिलो मन्त्रिस्त्रिय बैठक कहाँ भएको थियो ?,वसिङटन डी.सी,जेनेभा,जापान,सिंगापुर,
हाल नेपालमा कति वटा औधोगीक रहेका छन् ?,२१,१५,२०,११,
नेपालले कस्तो अर्थव्यवस्थालाई अंगालेको छ ?,पुजिवादी अर्थव्यवस्था,साम्यवादी अर्थव्यवस्था,मिश्रीत अर्थव्यवस्था,कुनै पनि होइन,
ATM कार्ड प्रयोगमा ल्याउँने नेपालको पहिलो बैँक कुन हो ?,Standard Charted Bank,Nabil Bank,Everest Bank,Himalayan Bank,
सबै भन्दा ठुलो अन्तराष्ट्रिय बित्तिय संस्था कुन हो ?,Asian Development Bank,European Bank,World Bank,International Monetary Fund,
White Dollar भन्नाले के बुझिन्छ ?,वन्य जन्तु निर्यात गरेर कमाएको बिदेशी मुद्रा,सुन तथा अन्य धातु निर्यात गरेर कमाएको बिदेशी मुद्रा,वन जंगल बेचेर कमाएको बिदेशी मुद्रा,जल बिद्युत वा पानी निर्यात गरेर कमाएको बिदेशी मुद्रा,
बेलायतमा निजीकरण गरिएको पहिलो सस्थान कुन हो ?,ब्रिटिस पेट्रोलीयम निगम,स्टिल कम्पनी,टेलीकम्युनिकेसन,माथिका सबै,
नेपालको निर्यात व्यापार मा कुन क्षेत्रको योगदान प्रमुख रहेको छ ?,कृषि,गैर कृषि,काठ,जडिबुटी,
आर्थिक प्रहरी भन्नाले कसलाई जनाउछ?,अर्थ मन्त्री,लेखापाल,गवर्नर,लेखापरिक्षक,
नेपाल र भारत बिच बिप्पा (BIPPA) सम्झौता गर्ने नेपालका प्रधानमन्त्री को हुन् ?,Pushpa Kamal Dahal,Baburam Bhattarai,Jhalanath Khanal,Madhav Kumar Nepal,
Birgunj भन्सार भारतको कुन सहर संग जोडिएको छ ?,Amrtisar,Lucknow,Calcutta,Raxaul,
दशौ योजना अनुसार आयोजना कार्यक्रमहरु कतिओटा आधारमा प्राथमिकीकरण गरिएका थिए ?,6,7,5,8,
"BRICS मा पाँच राष्ट्र छन्। १ Brazil, २ Russia, ३ India, ४ China र पाँचौ राष्ट्र कुन हो ?",Serbia,Spain,Sweden,South Africa,
काठमाडौँ महा नगरपालिकाले फोहर बेव्स्थापन गर्न बर्सेनि कति रकम खर्च गर्छ ? (Data 2014 AD),20 करोड,25 करोड,40 करोड,30 करोड,
"माथिल्लो Marsyangdi ""A"" Hydro Power Project गण्डकी अंचल को कुन जिल्ला मा निर्माण भइरहेको छ ?",मकवानपुर,पर्वत,तनहु,लम्जुंङ,
प्रथम योजनामा सबैभन्दा बडी रकम कुन क्षेत्रमा विनियोजन गरिएको थियो ?,सुरक्ष,यातायात तथा संचार,Education,Agriculture,
कर्मचारी सञ्चय कोषको स्थापना कहिले भएको हो ?,वि.स. २०१९,वि.स. २००४,वि.स. २०२०,वि.स. २०१५,
नेपाल सरकार र भारत सरकार बीच पारबहन सन्धि सात बर्षका लागी कहिले नविकरण गरिएको हो ?,सन २००६ January‎ १२,सन २००६ January‎ ५,सन २००६ January‎ ६,सन २००६ January‎ ९,
राष्ट्रिय कृषि गणना २०६८ को प्रतिवेदन अनुसार पछिल्लो १० वर्षमा सुँगुर - बंगुर पालन ३० प्रतिसतले बढेको छ भने भेडा पालन कति प्रतिसतले बढेको छ ?,19 %,23 %,33%,29 %,
Who introduced the plan of Pension for the 1st time in Nepal?,Padma Shumsher,Juddha Shumsher,Mohan Shumsher,Bir Shumsher,
"प्रकाशको गति पत्ता लगाउने"" Scientist"" को हुन् ?",Dalton,Edward Jenner,Malthus,Romer,
भ्यागुते रोग विरुद्ध कुन खोप दिईइन्छ ?,DPT,TT,BCG,Polio,
नेपालमा कुन दिन जैविक विविधता दिवस मनाइन्छ?,१० December,२५ December,२९ December,१ December,
सबै भन्दा धेरै Uranium उत्पादन गर्ने देश कुन हो ?,Canada,Russia,Iran,China,
Bardiya राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,968 Sq. KM,918 Sq. KM,928 Sq. KM,998 Sq. KM,
Parsa वन्यजन्तु आराक्ष्य क्षेत्रको क्षेत्रफल कति रहेको छ ?,599 Sq. KM,415 Sq. KM,466 Sq. KM,499 Sq. KM,
भ्यागुते रोग कुन किटाणुबाट सर्दछ ?,कर्नोब्यकटेरियम डिप्थेसिया,भिब्रिओं,भईरस,मईको ब्यकटेरियम,
Shivapuri National Park को स्थापना कहिले भएको हो ?,BS 2065,BS 2057,BS 2060,BS 2058,
न्युरोन कति प्रकारको हुन्छन ?,५ प्रकारको,२  प्रकारको,४  प्रकारको,३  प्रकारको,
एड्स रोगको उत्पती सर्वप्रथम कुन देशमा भएको हो ?,अफ्रिका,रुस,अमेरिका,फ्रान्स,
Roger Federer is related with which game?,Tennis,Cricket,Swimming,Volleyball,
ASEAN  मा पाकिस्तान कहिले प्रवेश गरेको थियो ?,सन् २००३ जूलाई,सन् २००२ जूलाई,सन् २००४ जूलाई,सन् २००५  जूलाई,
0 and 1 Number System is Called?,Hexa,Decimal,Binary,Octa,
हावामा Oxygen को मात्रा कति प्रतीसत हुन्छ ?,21 %,23 %,27 %,25 %,
माल्दिव्सको  सरकारी  विमान सेवालाई के भनिन्छ ?,BIMAN,EIAI,Maldives International airways,PATNAM,
नेपालको निशाना छापमा कतिवटा लालिगुराँस छन् ?,14,10,8,5,
दुव्यसनका स्वोरुपमा देहायको कुन पर्दछ ?,लागु औषादको सेवन,तास जुवा,धुमपान तथा मध्यपान,माथिका सबै,
चितवन राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,932 Sq. KM,928 Sq. KM,938 Sq. KM,948 Sq. KM,
Lance Armstrong is related to?,Cycling,Cricket,Football,Tennis,
Lindsey Vonn of USA is related with which game?,Tennis,Beach Volleyball,Ski Race,Swimming,
पहिलो मिस नेपाल को हुनुहुन्छ ?,रुवी राणा,करिस्मा मानन्धर,नम्रता श्रेष्ठ,भुबना के सी,
हाल सम्म नेपाल सग दौत्य समन्ध कायम भएका राष्ट्र कति पुगेको छ?,१७०,१६८,१६७,१६५,
"ऐतिहासिक Boxing  खेल ""The Rumble in the Jungle "" मा  मुहम्मद अलि का प्रतिस्पर्धी को थिए ?",GEORGE FOREMAN,PURR,ZAIRE,ROPES,
बैंक अफ दी एयर - २०१९ कुन बैंक हो ?,ग्लोबल IME बैंक नेपाल लिमिटेड,मेगा बैंक नेपाल लिमिटेड,Standard Charter बैंक नेपाल लिमिटेड,NMB बैंक नेपाल लिमिटेड,
सार्कले कहिले देखि साकृतिक विविधताको संरक्षण गर्न कुनै एक महत्वपूर्ण सास्कृतिक धरोहरलाइ सास्कृतिक राजधानी घोषणा गर्न थाल्यो??,सन 2014,सन 2015,सन 2016,सन 2013,
नेपाल मा हाल कति स्थानीय तह रहेका छन?,755,752,754,753,
पहिलो पटक Internet Banking प्रयोगमा ल्याउने बैंक कुन हो ?,नबिल बैंक,हिमालयन बैंक,नेपाल बैंक लिमिटेड,कुमारी बैंक,
चिनियाँ विदेशमन्त्री वाङ यी तीनदिने भ्रमणका लागि कहिले  नेपाल आएका थिए?,२०७६ भाद्र २१,२०७६ भाद्र २३,२०७६ भाद्र २२,२०७६ भाद्र २४,
‘माड्साब’ उपनामले चिनिने नेपाली साहित्यकार को हुन् ?,डा अभि सुबेदी,बि पी कोइराला,डा हर्क गुरुङ,मदनमणि दीक्षित,
कहिले देखि महिला ले आधुनिक ओलम्पिक खेल  मा सहभागिता जनाउदै आएका हुन्?,सन् १८९९,सन् १९०४,सन् १९००,सन् १८९४,
विश्वभर सञ्चालित ‘जिरो हंगर च्यालेन्ज अभियान’ लाई आत्मसात् गर्दै नेपालले कहिलेसम्मा भोकमरी अन्त्य गर्ने प्रतिबद्धता जनाएको छ ?,सन् २०२१,सन् २०२३,सन् २०२५,सन् २०२२,
सन् २०१७ जूनमा सम्पन्न आठौं आईसीसी च्याम्पियन्स ट्रफी क्रिकेट प्रतियोगिताको उपाधि कसले जित्यो ?,इङ्ल्यान्ड,भारत,पाकिस्तान,ऑस्ट्रिलिया,
६ महिना मा विश्व को ८००० मिटर भन्दा १४ वोटा हिमाल आरोहन गरि किर्तिमान राख्न सफल पर्वतारोही को हुन् ?,लाक्पा शेर्पा,"दावा शेर्पा ,",मिग्मा शेर्पा,निर्मल पुर्जा,
आर्थिक सर्वेक्षण २०७३/७४ अनुसार आ.व. २०७३/७४ मा नेपालमा कति खाद्यान्न उत्पादन हुने अनुमान छ ?,९७ लाख १४ हजार टन,९७ लाख ४१ हजार टन,९४ लाख १ हजार टन,९७ लाख ७१ हजार टन,
१३औ सग गमे- २०१९(काठमाडौँ -पोखरा) कति स्वर्ण पदक  वितरण गरिने भएको छ ?,३१६,३१५,३१८,३१७,
सन २०१६ मा युरोकप प्रतियोगिता कुन देशमा आयोजना भएको थियो??,फ्रान्स,पोर्तुगल,स्पेन,जर्मनी,
सरकारले नेपालको पहिलो नर्सका रुपमा कसलाई घोषणा गर्यो ?,संजु अमात्य,माया,योजना,लामु अमात्य,
जलवायु परिवर्तनसम्बन्धी राष्ट्रसंघीय सम्मेलन (कोप-२५) -कोप २०१९ कहाँ हुदैछ?,"रियो- दि जेनेरियो ,ब्राजिल","कोपन्हेगन,डेनमार्क","म्याड्रिड,स्पेन","पेरिस ,फ्रान्स",
बाघ गणना 2075 अनुसार हाल नेपालमा बाघको संख्या कति रहेको छ?,135 वटा,235 वटा,234 वटा,195 वटा,
नेपाल मा कतिवटा स्थानीय तह रहेका छन् ?,७५१,७५२,७५३,७५०,
ABBCCCDDDD......को 50 औ अक्षर के आउछ??,M,J,K,I,
"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is",55,50,60,45,
"दिईएको सेरिज पुरा गर्नुस..!! 8,6,9,23,87,??",6x2=12-3=9,8x1=8-2=6,87x5=435-6=429,9x3=27-4=23,
"एउटा समारोहमा सहभागीले हात मिलाउदा जम्मा 1326 पटक मिलाएछन,भने जम्मा कति जना सहभागी थिए??",52 जना,42 जना,62 जना,72 जना,
"A 3-digit number 4p3 is added to another 3-digit number 984 to give the four-digit number 13q7, which is divisible by 11. then, (p + q) is :",8,11,10,9,
यदि तरकारीको मुल्य 20% ले घट्यो भने पहिलेकै खर्च कायम गर्दा उपभोगमा कति प्रतिशतले वृध्दि गर्नुपर्ला??,25%,15%,20%,21%,
"यदि E=5 र HOTEL=12 भए,LAMB= कति होला??",5,7,8,6,
.एउटा पसले केहि सामान रु 5/6 मा किनेर 6/5 मा वेच्यो भने कति % नाफा पायो होला??,44%,34%,64%,54%,
"""Live"" started a business investing Rs. 45000. After 3 months, ""Event"" joined him with a capital of Rs. 60000. After another 6 months, ""Offer"" joined them with a capital of Rs. 90000. At the end of the year, they made a profit of Rs. 20000. What would be ""Offer's share in it?",Rs 7000,"Rs 4000 Answer: Option D  Explanation:  Just take care of the months of investment, rest all will be simple.  Yogesh:Pranab:Atul = 45000*12:60000*9:90000*3 = 2:2:1 Atul's share = Rs. 20000 * (1/5) = Rs. 4000",Rs 5000,Rs 6000,
The percentage profit earned by selling an article for Rs. 1920 is equal to the percentage loss incurred by selling the same article for Rs. 1280. At what price should the article be sold to make 25% profit?,Rs. 2200,Rs. 2000,Rs. 2400,Data inadequate,
यदि तपाई 1 देखि 100 सम्म सवै अंक लेख्नुभयो भने कति पटक 3 लेख्नुहुन्छ??,19 पटक,21 पटक,20 पटक,22 पटक,
भुलवस एउटा विधार्थीको अंक 63 को ठाउमा 83 लेखियो जसले गर्दा सम्पुर्ण विधार्थीको को अंक आधा(1/2) ले वृध्दि हुन पुग्यो भने कक्षामा कति विधार्थी होलान??,40 जना,30 जना,50 जना,20 जना,
366 पेजको कितावमा जम्मा कति Digit प्रयोग गरिएको हुन्छ??,990,970,980,960,
A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:,4,No profit No loss,8,5,
"सेरिज पुरा गर्नुस..!! S,M,T,W,T,F,??",W,T,S,M,
हाल नेपाल को संबिधानमा कतिवटा संबैधानिक आयोगहरुको  व्यवस्था गरिएको छ?,२२ वटा,१४ वटा,१३ वटा,३१ वटा,
हाल सम्म नेपाल को सबैभन्दा बढी पटक संसोधन भएको  संबिधान कुन हो?,नेपाल अधिराज्य को संबिधान २०४७,"नेपालको अन्तरिम शासन बिधान ,२००७",नेपाल  को संबिधान २०१९,नेपालको अन्तरिम संबिधान २०६३,
संबिधान सभा  बाट संबिधान जारी गर्ने नेपाल कतिऔ राष्ट्र कुन हो?,४५ औ,४३ औ,४४ औ,४२ औ,
""" Ivor Jennings "" कुन संबिधान को निर्माण आएका बिदेशी कानुनविद हुन्?","नेपाल अधिराज्य को संबिधान, २०१५","नेपाल को अन्तरिम शासन बिधान,२००७",नेपाल को संबिधान २०१९,"नेपाल सरकार को बैधानिक कानुन,२००४",
"नेपाल को संबिधान अनुसार ,संबिधान को पालना गर्नु,,,,,,,,,,,,,,,,,,,,,,, कर्तव्य हुनेछ ।",प्रत्येक समाजको,प्रत्येक ब्यक्तिको,प्रत्येक मान्छेको,प्रत्येक नागरिकको,
विश्व को सबैभन्दा लामो   लिखित  संबिधान कुन हो?,बेलायत को संबिधान सन् १२१५ जुन २५,चीन को संबिधान दिसेम्बेर २५ १९४७,भारत को संबिधान २६ जनवरी १९५०,"अमेरिकाको संबिधान सेप्तेम्बेर १७, १७८७",
विश्व को सबैभन्दा पहिलो र  छोटो  लिखित  संबिधान कुन हो?,चीन को संबिधान २५ दिसेम्बेर १९४७,"अमेरिकाको संबिधान सेप्तेम्बेर १७, १७८७",भारत को संबिधान २६ जनवरी १९५०  चीन को संबिधान २५ दिसेम्बेर १९४७,बेलायत को संबिधान सन् १२१५ जुन २५,
हाल नेपाल को संबिधानमा अनुसार कतिवटा राज्यका निर्देशक  सिद्धान्त  व्यवस्था गरिएको छ?,६ वटा,३ वटा,४ वटा,५  वटा,
हाल नेपाल को संबिधानमा कतिवटा मौलिक हकहरुको व्यवस्था गरिएको छ?,१४ वटा,२२ वटा,३१ वटा,१३ वटा,
"श्रीप्रकाश ,राम उग्रसिंह,रघुनाथ सिंह जस्ता संबिधान बिशेषज्ञ झिकाएर बनाएको संबिधान कुन हो?","नेपालको अन्तरिम शासन बिधान ,२००७",नेपाल अधिराज्य को संबिधान २०१९,"नेपाल सरकार को बैधानिक कानुन, २००४",नेपाल अधिराज्य को संबिधान २०४७,
संबिधान सभा  बाट संबिधान जारी गर्ने पहिलो राष्ट्र कुन हो?,फ्रान्स,भारत,अमेरिका,बेलायत,
हाल नेपाल को संबिधानमा अनुसार प्रत्येक नागरिक का कतिवटा कर्तब्य को   व्यवस्था गरिएको छ?,२ वटा,८ वटा,४ वटा,६ वटा,
नेपाली भाषा लाई भारत को संबिधान को कति औ अनुसूची मा राखिएको छ ?,६ औ,८ औ,५ औ,७ औ,
हाल नेपाल को संबिधानमा अनुसार कतिवटा राज्यका नीति तथा दायित्व को  व्यवस्था गरिएको छ?,१५ वटा,१३ वटा,१२ वटा  १३,१४  वटा,
सर्बोच्च अदालत मा प्रधान न्यायाधीश का अतिरिक्त कतिजना न्यायाधीश रहन्छ ?,२० जना,२५ जना,२२ जना,२१ जना,
नेपाल को पहिलो लिखित संबिधान कुन हो?,"नेपाल सरकार को बैधानिक कानुन, २००४","नेपालको अन्तरिम शासन बिधान ,२००७",नेपाल अधिराज्य को संबिधान २०१९,मुलुकी ऐन,
"""संबिधान जिबन को बाटो हो, जसको छनोट राज्य आफैले गर्दछ"" यो भनाइ कसको हो ?",सुकरात,ए भी डयसि,अरस्तु,महात्मा गान्धी,
नेपाल सम्म नेपाल मा कतिवटा संबिधान जारी भैसकेका छन् ?,७ वटा,८ वटा,६ वटा,५ वटा,
नेपाल को पहिलो पटक कार्यन्वायन  भएको लिखित संबिधान कुन हो?,नेपाल अधिराज्य को संबिधान २०१९,मुलुकी ऐन,"नेपालको अन्तरिम शासन बिधान ,२००७","नेपाल सरकार को बैधानिक कानुन, २००४",
हाल नेपाल को संबिधानमा अनुसार संघिय व्यबस्थापिका को कुल सदस्य संख्या कति हुन्छ ?,२७५,६०१,३३०,१६५,
पृथ्वीमा जमिनको भाग कति प्रतिसत रहेको छ ?,28%,29%,30%,31%,
Sindhuli जिल्लाको सदरमुकाम कुन हो ?,Bidur,Kalaiya,Kamalamai,Charikot,
मुगु कर्णालीको लम्बाई कति रहेको छ ?,384 km,690 km,550 km,470 km,
संसारकै सबै भन्दा लामो पुल कुन हो ?,Weinan Weihe Grand Bridge (China),George Washington Bridge (USA),Bang Na Expressway (Thailand),Danyang–Kunshan Grand Bridge (China),
South America महादेशको सबै भन्दा अग्लो हिमाल कुन हो ?,Mount Elbrus,Mount Aconcagua,Vinson Massif,Mount Kosciuszko,
संसारको सबै भन्दा सुक्खा ठाउँ भनेर कुन ठाउँ लाई चिनिन्छ ?,Sydney (Australia),Lahore (Pakistan),New Delhi (India),"Death Valley (California, USA)",
अफ्रिका महादेशको सबैभन्दा लामोनदी कुन हो ?,Amazon,Nile,Thames,Colorado,
Kanchanpur जिल्लाको सदरमुकाम कुन हो ?,Baitadi,Darchula,Dadeldhura,Mahendranagar,
Which is the Capital of Uruguay?,Lusaka,Kampala,Montevideo,Tashkent,
सौर्यमण्डल भन्नाले के बुझिन्छ ?,ग्रहहरू,ब्रहमाण्ड,ताराको परिवार,सुर्यको परिवार,
तल दिएको मध्ये Western Development Region मा पर्ने अञ्चल कुन हो ?,Dhawalagiri,Bagmati,Narayani,Seti,
Kaski जिल्लाको सदरमुकाम कुन हो ?,Damauli,Chame,Besisahar,Pokhara,
"पाकिस्थान को उत्तर-पश्चिम क्षेत्रको प्रमुख सहर कुन हो, जसलाई तलिबनको बाहुल्य रहेको सहरको रुपमा पनि चिनिन्छ ?",Peshawar,Karachi,Islamabad,Rawalpindi,
भोटमा मूल भएका नेपालका नदीहरु कति वोटा छन् ?,9,10,5,6,
सबै भन्दा छिटो सूर्यलाई घुम्ने ग्रह कुन हो ?,Mars,Earth,Mercury,Venus,
Bheri अञ्चलमा पर्ने जिल्ला कुन हो ?,Humla,Jajarkot,Rolpa,Salyan,
Which is the largest salt water lake in the world?,Caspian Sea,Victoria Lake,Superior Lake,Baikal Lake,
विश्वको दोस्रो जलस्रोतको धनी देश कुन हो ?,Brazil,Argentina,China,Nepal,
Central Development Region  को सदरमुकाम कुन हो ?,Rajbiraj,Birgunj,Jaleshwor,Kathmandu,
राप्ती अञ्चलको सदरमुकाम कुन हो ?,Salyan,Ghorahi,Musikot,Tulsipur,
छिन्नलता कुन साहित्यकारको उप-नाम हो ?,चाँदनी शाह,रमोला देवी शाह,बिस्नु कुमारी बाईबा,झमक कुमारी घिमिरे,
भगवान Gautam Buddha लाई ज्ञान प्राप्त गर्नु भन्दा अगाडिको दिन कसले खिर खान दिएको थियो?,योगमाया,मेनका,रूपमती,सुजता,
गोरखा भर्ति केन्द्रको स्थापना कसले गरेका हुन् ?,Bir Shamsher,Chandra Shamsher,Mohan Shamsher,Juddha Shamsher,
"""म नै राज्य हु"" (I am the State) यो कसको भनाइ हो ?",Edward I,William III,Louis XIV,Philip,
पृथ्वीनारयण शाहको प्रथम विवाह वि.स.१७९४ मंसिरमा कोसँग भएको थियो ?,इन्द्रकुमारी,कौसल्यावती,राज्यलक्ष्मी,ललित सुन्दरी,
सर्वप्रथम मदन पुरस्कार पाउने कृति कुन हो ?,खलंगामा हमला,मन,जीवन सुन्दर छ,सिरिस को फूल,
