Question,Correct
चिनियाँ विदेशमन्त्री वाङ यी तीनदिने भ्रमणका लागि कहिले  नेपाल आएका थिए?,२०७६ भाद्र २२
366 पेजको कितावमा जम्मा कति Digit प्रयोग गरिएको हुन्छ??,990
"A 3-digit number 4p3 is added to another 3-digit number 984 to give the four-digit number 13q7, which is divisible by 11. then, (p + q) is : ",10
संबिधान सभा  बाट संबिधान जारी गर्ने नेपाल कतिऔ राष्ट्र कुन हो?,४४ औ
सूर्यलाइ आफ्नो अक्षमा परिक्रमा गर्न कति समय लाग्दछ??,25 दिन 5 घण्टा
Antarctica महादेशको सबै भन्दा अग्लो हिमाल कुन हो ?,Vinson Massif
विश्वको कुल भू-भागको करिब एक चौथाई क्षेत्रफल ओगटेको पर्वातिये क्षेत्रमा कति प्रतिसत मानिस बसोबास गर्छन ?,12 %
"France का जनता हरु ""Madame Deficit"" भनेर कसलाई सम्बोधन गर्थे ?",Marie Antoinette
भगवान Gautam Buddha ले कुन ठाउँ मा तपस्या गरेर ज्ञान प्राप्त गरेका थिए ?,भारतको गया
Who is the Yug kabi of Nepal?,Siddhicharan sherestha
"नेपालको अन्तरिम संबिधान ,२०६३ कस्तो कानुन हो ?",मूल कानुन
Bisheshwar Prasad Koirala को देहवसन कहिले भएको हो ?,२०३९ श्रावण ६
Confucius द्वारा रचना गरिएको विश्व प्रसिद्व पुस्तक कुन हो ?,बसन्त र पतझर
Which National Park in Nepal receives the highest no. of Tourist?,Chitwan National Park
हाल नेपालमा कति प्रकारका ऋण पत्रहरु प्रयोगमा ल्याइएको छ ?,5 प्रकार
""" नन्दादेवी नेसनल पार्क "" कुन देशमा पर्छ ?",INDIA
अक्टोपसको रगत कुन रङको हुन्छ ?,Blue
Which of the following is not a Operating System in Computer?,JAVA
पद्मश्री साहित्य पुरस्कार २०७६ कुन कृतिलाई  प्रदान गरीयो?,छुटेका अनुहार
"हालै ""मानार्थ नागरिकता"" सम्मानित बेलायती नागरिक को हुन् ?",कोलिन स्मिथ
नेपाल सरकारले नेपाली भाषाका साथै अङ्ग्रेजी भाषासमेत प्रयोग गरी नयाँ ढाँचाको नेपाली नागरिकताको प्रमाणपत्र कहिलेदेखि दिन सुरु गरेको हो ?,वि.सं.२०६६ मङ्सिर १
A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is: ,5
"सेरिज पुरा गर्नुस..!! S,M,T,W,T,F,??",S
हाल नेपाल को संबिधानमा अनुसार कतिवटा राज्यका नीति तथा दायित्व को  व्यवस्था गरिएको छ?,१३ वटा
संबिधान सभा  बाट संबिधान जारी गर्ने पहिलो राष्ट्र कुन हो?,फ्रान्स
नेपालको एग वास्केट भनेर कुन जिल्लालाई चिनिन्छ??,चितवन
तल दिएको मध्ये Western Development Region मा नपर्ने जिल्ला कुन हो ?,Dang
फुंङ्चु  कुन नदीको अर्को नाउ हो ?,Arun
राष्ट्रिय जन-गणना 2068 BS अनुसार मात्रीभाषा नेपाली भएका कती प्रतिसत नेपाली छन् ?,44.6 %
महादेवको बाहन लाई के भनिन्छ ?,साँढे
रामशाहको समयमा प्रसासन र जगीतर्फको उच्च पद कुन परिवारमा बाडिएको थियो ?,६ थर
तल दिएका मध्ये को प्रहरी महानिरीक्षक होइनन् ?,Madan Khadka
कर्णाली अञ्चलकै पहिलो बाल-बिबाह मुक्त घोषित Jubitha गाबिस कुन जिल्लामा पर्दछ ?,Kalikot
नेपाल प्रररास्ट्र नीतिमा प्रवक्ता कसलाई मानिन्छ ?,पृथ्वीनारयण शाह
तल दिएको मध्ये कुन राष्ट्र BRICS समूहमा पर्दैन ?,Thailand
नेपालमा मूल्य अभिवृद्धि कर कहिले बाट लागु भएको थियो ?,BS 2054 Mangshir 1
नेपाल राष्ट्र बैंकको गभर्नरको नियुक्ति कसले गर्छ ?,नेपाल सरकार
विश्वको सबैभन्दा लामो टेलिभिजन अन्तर्वाताको किर्तिमान बनाउने सञ्चारकर्मी को हुन् ?,Rabi Lamichhane
"एक आणविक कण को नाम Nelson Mandela को नाम बाट राखिएको छ, उक्त नाम के हो?",मण्डेला पार्टीकल
Who is the founder of Google?,Larry Page & Sergey Brin
 विक्रम संवत् २०७६ असोज २८–३० सम्म काठमाडौँमा आयोजित गैरआवासीय नेपाली सङ्घ (एनआरएनए) को अध्यक्षमा चयन हुन सफल व्यक्तित्व को हुन् ?, कुमार पन्त
पाँच दिनमा दुईपटक सगरमाथा आरोहण गरेर विश्व कीर्तिमान कायम गर्ने महिला को हुन् ?, भारतीय महिला आरोही अंशु जाम्सेन्पा
हाल सम्म नेपाल सग दौत्य समन्ध कायम भएका राष्ट्र कति पुगेको छ?,१६८
" दिईएको सेरिज पुरा गर्नुस..!! 8,6,9,23,87,??",87x5=435-6=429
"यदि E=5 र HOTEL=12 भए,LAMB= कति होला??",7
विश्व को सबैभन्दा लामो   लिखित  संबिधान कुन हो?,भारत को संबिधान २६ जनवरी १९५०
नेपाल को पहिलो पटक कार्यन्वायन  भएको लिखित संबिधान कुन हो?,"नेपालको अन्तरिम शासन बिधान ,२००७"
हाल सम्म नेपाल को सबैभन्दा बढी पटक संसोधन भएको  संबिधान कुन हो?, नेपालको अन्तरिम संबिधान २०६३
Kapilbastu जिल्लाको सदरमुकाम कुन हो ?,Taulihawa
नेपालको East - West लम्बाई कति छ ?,885 KM
तल दिएको मध्य Bagmati अञ्चलमा नपर्ने जिल्ला कुन हो ?,Ramechhap
दुर्गा(भगवती) को वाहन के हो ?,Lion
साहित्यमा कति वटा रस छन ?,9 रस
बिश्वकप फूटबलका लागि पहिलो पटक छनोट भएको एसीयाली राष्ट्र कुन हो ?,Indonesia
Junga Bahadur को मिर्त्यु कहिले भएको थियो ?,1933 b.c
सुकरात लाई दोषी ठहराई कस्तो सजाय दिने फैसला भएको थियो?,बिषपान गराउने
सुकरातको ज्ञानको दुई सिद्धान्तमध्ये आन्तरिक ज्ञानको सिद्धान्तले के बुझाउदैन?,इन्द्रियजन्य ज्ञान
विश्वव्यपार संगठनको नवौं मन्त्रीस्तरीय सम्मेलन कहिले सम्पन्न भयो ?(Was Organized at Bali of Indonesia) ,2013 Dec 3 - 6
नेपाल राष्ट्र बैंकको मूलधन पुजी कति रहेको छ ?,१ अर्ब
"अर्थशास्त्रमा मुद्रा र ज्यालाको सम्बन्ध देखाउने एउटा प्रसिद्ध बक्ररेखा छ, त्यसलाई के भनिन्छ?",Phillips Curve
Ricky Ponting is related with which game?,Cricket
Printing Press को आविस्कार कसले गरेका थिए ?,Johannes Gutenberg
Which country won Copa America Cup 2015?,Chile
दक्षिण एसियाली खेलकुद मा सबै भन्दा बढी स्वर्ण पदक जित्ने नेपाली खेलाडी को हुन् ?,दिपक बिष्ट
विश्व करुणा दिवस कहिले पर्छ?,नोभेम्बर १३
नेपाल मा हाल कति स्थानीय तह रहेका छन?,753
यदि तरकारीको मुल्य 20% ले घट्यो भने पहिलेकै खर्च कायम गर्दा उपभोगमा कति प्रतिशतले वृध्दि गर्नुपर्ला??,25%
""" Ivor Jennings "" कुन संबिधान को निर्माण आएका बिदेशी कानुनविद हुन्?","नेपाल अधिराज्य को संबिधान, २०१५"
"हाल नेपाल को संबिधान को भाग, धारा अनुसूची क्रमस कुन सहि छ ?"," ३५ भाग , ३०८ धारा ,९ अनुसूची"
"संसारकै सबै भन्दा अग्लो मुर्ति Spring Temple Buddha, China को उचाई कति छ ?",128 M
Western Development Region मा कती ओटा अञ्चल छन् ?,3
मुन्धुप कुन जतिको पवित्र धार्मिक ग्रन्थ हो ?,किरात
जंगबहादुरले कहिले कास्की र लम्जुङ्को श्री-३ महाराजधिराजको पदवी पाएका थिए ?, वि.स १९१२ श्रावण
सुगौली सन्धी कहिले भएको थियो ?,3 March 1816
Abraham Lincoln कहिले Illinois विधानसभामा Whig Party को तर्फबाट बिधायक बने र बिधानसभामा सो पार्टी को नेता चुनिए ?,1834 AD
राणाकालमा सर्व-साधारण जनताले पाउने उच्चतम पद के थियो ?,सुब्बा
"In order to run the national volunteer service campaign, when did the Government of Nepal establish the ‘Naya Nepal Nirman Kosh’ (New Nepal Building Fund)?","29 Magh, 2069"
महाभारत पर्वत को भिर हरु मा रहेको चट्टानमा सडेको झारपात हरु मिलेर बनेको माटो लाई के भनिन्छ ?,रातो फुस्रो माटो
अन्य माटोको तुलनामा जैविक अवशेस कुन माटो मा बडी पाईन्छ ?,पाँगो माटो र तलैया माटो
रेडियोको अविस्कार गर्ने Scientist  को थिए ?,Markoni
 World AIDS दिवस कहिले मनाइन्छ ?,December 5
Ronaldo is related with?,Football
१६ औँ निजामती सेवा दिवस- २०७६ को नारा के हो?,"‘सक्षम निजामती प्रशासन : विकास, समृद्धि र सुशासन’"
विश्व मधुमेह दिवस कहिले मनाइन्छ ?,नोभेम्बर १४
"१५६०० जना को क्षमता भएको क्रिकेट पार्क ""सबिना पार्क "" कहाँ पर्छ?","किंगस्टोन,  जमैका"
यदि तपाई 1 देखि 100 सम्म सवै अंक लेख्नुभयो भने कति पटक 3 लेख्नुहुन्छ??,20 पटक
हाल नेपाल को संबिधानमा अनुसार प्रत्येक नागरिक का कतिवटा कर्तब्य को   व्यवस्था गरिएको छ?,४ वटा
विश्वको सबै भन्दा गहिरो ठाउँ Mariana Trench कुन महासागरमा पर्दछ ?,Pacific Ocean
बिश्वकै सबैभन्दा लामो केबुल पुल कहाँ निर्माण गरिएको छ ?(जुन 1104 मिटर लामो छ)  ,रुस
च्छो रोल्पा ताल समुद्र सतहबाट कति मिटर उचाईमा अवस्थित छ ?,4580 M
लम्जुङ् र कास्की कसको नायबी कालमा एकीकृत नेपालमा मिलाइएको थियो ?,राजेन्द्र लक्ष्मी
पशुपतिनाथमा चादीका चार ढोका राख्न लगाउने प्रधानमन्त्री को हुन् ?,भीमसेन थापा
नेपालको ३८ औ प्रधानमन्त्री को हुन् ?,KP Oli
"""फिस्टे महाराज"" भनेर कसलाई चिनिन्छ ?",Chandra Shamsher
रंगोली बाट Morang जिल्लाको सदरमुकाम Biratnagar कहिले सारिएको हो ?,BS 1971
बजेटलाई कामको आधारमा पनि बर्गिकरण गर्ने व्यवस्था 	कहिले बाट गरिएको थियो ?,2019 BS
"भावर क्षेत्र, भित्रि मदेश र चुरे पहाड क्षेत्रमा कुन प्रकार को माटो पाईन्छ?",बलौटे माटो
सोयाबिन (भटमास) को तेल नेपाल मा कुन दुई मुलुक बाट आयात हुन्छ ?,Brazil and Argentina
दिएको मध्ये कुन चरा कानुनी प्रक्रिया द्वारा संरक्षण गरिएको छ ?,कालो काग
Parsa वन्यजन्तु आराक्ष्य क्षेत्रको क्षेत्रफल कति रहेको छ ?,499 Sq. KM
 अन्तराष्ट्रिय ओजोन तह संरक्षण दिवस कहिले मनाईन्छ ?,September 16
योगशास्त्रका प्रवर्तक को हुन् ?,पतञ्जली
"४००० दर्शक अटाउने क्षमता भएको ""ANFA Complex "" कुन देशको सहयोग मा निर्माण भएको हो?", FIFA's Goal Project
हाल नेपाल को संबिधानमा कतिवटा संबैधानिक आयोगहरुको  व्यवस्था गरिएको छ?,१३ वटा
नेपाल सम्म नेपाल मा कतिवटा संबिधान जारी भैसकेका छन् ?,  ७ वटा
Which is the Capital of Cuba?,Havana
"पाकिस्थान को उत्तर-पश्चिम क्षेत्रको प्रमुख सहर कुन हो, जसलाई तलिबनको बाहुल्य रहेको सहरको रुपमा पनि चिनिन्छ ?",Peshawar
चन्द्रमाले पृथ्वीलाई १ परिक्रमा लगाउन कती समय लाग्छ ?,27 Days 8 Hrs
"""समय को तस्बिर"" नामक निबन्ध संग्रहकी लेखीका को हुन् ?",सारदा शर्मा
"""आदि कवि"" भनेर कसलाई चिनिन्छ ?",Bhanubhakta Acharya
सुमेरियन हरु कुन देवता लाई आफ्नो प्रमुख देवता मान्थे?,सुर्य र चन्द्रमा
"निजामती सेवामा ""सचिव"" मा बढुवा हुन कम्तिमा कति वर्ष सह-सचिब हुनुपर्ने नियम छ ?",5
Where was Socrates born?,"Athens, Greece"
जनाअन्दोलन - २ का प्रथम सहिद को हुन् ?,Umesh Chandra Thapa
नेपालका सरकारी कार्यालय तथा चमेना गृह लाई कहिले देखि बालश्रम मुक्त गरिएको हो ?,2070 Jestha 29
नेपाली अर्थतन्त्रमा मुख्य अन्न बाली धानले कति प्रतिसत योगदान दिन्छ ?(Data 2070 BS) ,7 %
नेपाल सरकारले ट्रेजरी बिलको निस्कासन कहिले बाट गरेको थियो ?,BS 2018
वायुमण्डलिय चाप नपने येन्त्रलाई के भनिन्छ ?,Barometre
ASEAN  मा पाकिस्तान कहिले प्रवेश गरेको थियो ?,सन् २००४ जूलाई
Which of the following is not an Input Device in Computer?,Speaker
नेपालमा पहरी जातिको मुख्य बसोबास कहाँ रहेको छ ?,काभ्रेपलाञ्चोक
१३औँ दक्षिण एसियाली खेलकुद (साग) मा कति खेल संग्लन छन् ?, २७
सर्बोच्च अदालत मा प्रधान न्यायाधीश का अतिरिक्त कतिजना न्यायाधीश रहन्छ ?,२० जना
Seti अञ्चलमा पर्ने जिल्ला कुन हो ?,Achham
सौर्य परिवारका 8 ओटा ग्रहका कति ओटा उपग्रह हरु छन् ?,172
कर्णाली अञ्चलमा नपर्ने जिल्ला कुन हो ?,Bajura
What is Gautam Buddha's fathers name?,Suddhodana
सन् २०१५ अगस्ट २७ मा ' युईएफ सर्वश्रेष्ट फुटबलर ' को घोषित भएका छन् ?,Leo messi
राष्ट्रिय युवा कोषको २०७० सालको नारायणगोपाल सांगीतिक पुरस्कार प्राप्त गर्ने कुन चर्चित युवा गायक हुन् ?पुरस्कारको राशी रु ४०००० रहेको थियो।,Shiva Pariyar
अरस्तु (Aristotle) को जन्म कहिले भएको थियो?,ईसापूर्व ३८४
महात्मा गान्धीको जन्म कहाँ भएको थियो ?,भारतको गुजरात राज्य
कुनै पनि व्यक्ति न त सोइच्छा ले खराब हुन्छ न त अनिच्छा ले असल हुन्छ।यो विचार कसको हो ?,Socrates
What is the amount of Nobel Peace Prize?,12 Million Dollar
बिश्व व्यापार संगठन (WTO) क प्रमुख अंगहरु कति वटा छन् ?,4
दशौ पन्च बर्षिय योजना कहिले देखि सुरु भएको हो ?,2059 BS
Who is known as the father of Aerodynamics?,George Cayley
नेपालमा लोप हुन लागेको जंगली भैसी कुन आरक्षमा पाइन्छ ?,कोशीटप्पू वन्यजन्तु आरक्ष
सन् २०१३ को ८६ औ ओस्कार अवार्ड कुन चलचित्रलाई प्रदान गरिएको थियो ?,Twelve years a slave
९ औ राष्ट्रिय खेलकुद प्रतियोगिता - २०७७  कुन प्रदेश मा आयोजना हुदैछ?,गण्डकी प्रदेश
२१ मर्चको दिनलाई वसन्त सम्पात भनिन्छ भने २३ सेप्टेम्बरको दिनलाई के भनिन्छ ?,शारद सम्पात
नेपाल विद्युत् प्राधिकरणले काठमाडौँ उपत्यकाका मुख्य सहरी क्षेत्रमा बिजुलीका तार भूमिगत गर्ने कार्य कहिलेदेखि सुरु गर्ने निर्णय गरेको छ ?,विसं २०७६ पुस
'Royal Gift of People'  नेपालको कुन संबिधान लाई चिनिन्छ ?,अधिराज्य को संबिधान २०१५
Narayani अञ्चलमा कती ओटा जिल्लाहरु छन् ?,5
Banke जिल्लाको सदरमुकाम कुन हो ?,Nepalgunj
सुर्य र पृथ्वी बिचको दुरी कति रहेको अनुमान गरिएको छ ?,१४ करोड ८८ लाख KM
Which is the real name of Janak?,Shiridhoj
Prithvi Narayan Shah ले बनाएको नुवाकोट दरबार कति तलाको छ ?,7
चाणक्य मौर्य सम्राट चन्द्र गुप्तको को थिए ?,राजगुरु
नेपालमा सर्वप्रथम लोक सेवा आयोग को गठन कहिले भएको हो ?,२००८
"""अन्तआत्माले जे भन्दछ त्यही सत्य हो "" यो कसको भनाइ हो ?",महात्मा गान्धी
नेपालको प्रथम निर्बाचित संसद को सभामुख को थिए ?,Krishna Prasad Bhattarai
"नेपालमा हालसम्म निजी क्षेत्रबाट उत्पादित सबैभन्दा ठुलो जलबिधुत परियोजना खिम्ती आयोजना हो भने,यसले कति मेगावाट विधुत उत्पादन गर्न सक्छ ?",६०
अठारौ सार्क शिहर सम्मेलनले सन् २०१६ लाई कुन सार्क वर्षका रुपमा मनाउने निर्णय गरेको छ ?,सार्क सांस्कृतिक सम्पदा बर्ष
 BIPPA सम्झौता 2068 कार्तिक 4 मा नेपालको तर्फबाट कसले हस्ताक्षर गरेका थिए ?,Anilkumar Jha
Tiger Woods is related with which game?,Golf
Shivapuri राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,144 Sq. KM
मानव सरिर मा सबै भन्दा ठुलो ग्रन्थी कुन हो ?,कलेजो
"""Nepal visit year 2020"" सरकार ले कति पर्यटक भित्राउने लक्ष्य लिएको छ?",२५ लाख
सबै भन्दा लामो दिन कुन हो ?,21st June
Central Development Region  को सदरमुकाम कुन हो ?,Kathmandu
तलको कुन चाहिँ नदि कर्णाली नदीका सात सहायक नदीको समुहमा पर्दैन ?,चमेलिया
सिरुवा पर्व नेपालको कुन क्षेत्रमा मनाईन्छ ?,तराई प्रदेस
२००७ सालको प्रजातन्त्र पछि गठन भएको मन्त्रिमण्डल को अर्थमन्त्री को भए ?,सुवर्ण समशेर
"गौतम बुद्धको जन्म ,ज्ञान प्राप्त , र देह्त्याग एकै दिन भएको थियो ?उक्त दिन कुन हो ?",बैशाख पुर्णिमा
आत्मा अमर छ जसका लागी दु:ख प्रकट गर्नु ब्यर्थ छ र संचारीत्रिक व्यक्तिका लागि परलोक मा पनि आनन्द छ।यो भनाइ कसको हो?,Socrates
नेपालको संबिधान २०७२ जारी भए पछि को प्रधानमन्त्री को रुपमा निर्वाचित हुनु भएको थियो ?,KP Oli
कौटिल्यको अर्थशास्त्र कति शीर्षकमा तयार पारिएको हो?,15
United Nations को आब्वाहन अनुसार विश्वभर अन्तराष्ट्रिय आप्रवासन दिवस कती तारिख मा मनाइन्छ ?,December 18
नेपालको कुन ठाउँमा अन्तराष्ट्रिय पर्वतिय संग्राहलय रहेको छ ?,Pokhara
दीक्षान्त समारोहका दिन विद्यार्थीले लगाउने चारकुन्ने टोपीलाई के भनिन्छ ?,Mortarboard
पहिलो पटकATM प्रयोगमा  बैंक कुन हो ?,हिमालयन बैंक
नेपाल र म्यानमारबीच पर्यटन र संस्कृतिका क्षेत्रमा सहकार्य गर्नेसम्बन्धी समझदारीपत्रमा कहिले हस्ताक्षर भएको हो ?,सन् २०१९ अक्टोबर १७
.एउटा पसले केहि सामान रु 5/6 मा किनेर 6/5 मा वेच्यो भने कति % नाफा पायो होला??,44%
"""Live"" started a business investing Rs. 45000. After 3 months, ""Event"" joined him with a capital of Rs. 60000. After another 6 months, ""Offer"" joined them with a capital of Rs. 90000. At the end of the year, they made a profit of Rs. 20000. What would be ""Offer's share in it?","Rs 4000 Answer: Option D  Explanation:  Just take care of the months of investment, rest all will be simple.  Yogesh:Pranab:Atul = 45000*12:60000*9:90000*3 = 2:2:1 Atul's share = Rs. 20000 * (1/5) = Rs. 4000"
हाल नेपाल को संबिधानमा अनुसार संघिय व्यबस्थापिका को कुल सदस्य संख्या कति हुन्छ ?,२७५
विश्वको सबै भन्दा उचाई मा रहेको तिलिचो ताल (Tilicho Lake) कुन देशमा पर्दछ ?,Nepal
Humla जिल्लाको सदरमुकाम कुन हो ?,Simikot
"12 बण्डाल ,18 खण्डालको जिल्ला कुन हो ?",Surkhet
तामाङहरुले कुन दिन गर्ने पूजालाई ‘नारो’ भनिन्छ ?,श्रावण पूर्णिमा
राजा Louis XIV को मृत्यु कहिले भयो ?,1715 AD
प्राचिनकालमा बिकसित भएको हरप्पा र मोहन जोडदाको सभ्यतालाई के नाम ले चिनिन्छ?,सिन्धुघाँटीको सभ्यता
अहिंसाको एक प्रमुख मध्यम के हो ?,प्रेम
आगामी १९ औं सार्क शिखर सम्मेलन कहिले र कहाँ हुनेछ ,"Islamabad, Pakistan"
मकवानपुर विजय कहिले भयो ?,१८१९ भाद्र ९
"फलामको मात्रा, चुन, Nitrogen, Phosphorus जस्ता खनिज तत्तो पनि कम हुने माटो कुन हो?",रातो फुस्रो माटो
वन जंगल र बिसेस गरि साल को रुख को लागि उपयुक्त माटो कुन हो ?,बलौटे पत्थरिलो माटो
How many permanent members are there in security council of U.N.O.?,5
सबै भन्दा धेरै Uranium उत्पादन गर्ने देश कुन हो ?,Canada
प्रसिद्ध वैज्ञानिक आइन्सटाइनले कुन देशको राष्ट्रपति बन्ने प्रस्तावलाई इन्कार गरेका थिए ?,इजरायल
"""ट्रकोमा"" रोग सरिरको कुन भागमा लाग्दछ ?",आखा
कहिले देखि महिला ले आधुनिक ओलम्पिक खेल  मा सहभागिता जनाउदै आएका हुन्?, सन् १९००
वि.सं. २०७४ मा प्रदान गरिएको बसुन्धारा श्री पुरस्कारबाट सम्मानित हुने स्रष्टा को हुन् ?,प्रा.डा. तारानाथ शर्मा
"श्रीप्रकाश ,राम उग्रसिंह,रघुनाथ सिंह जस्ता संबिधान बिशेषज्ञ झिकाएर बनाएको संबिधान कुन हो?","नेपाल सरकार को बैधानिक कानुन, २००४"
हाल नेपाल को संबिधानमा कतिवटा मौलिक हकहरुको व्यवस्था गरिएको छ?, ३१ वटा
गौरीशंकर हिमाल कुन हिम शृंखला अन्तर्गत पर्दछ ?,रोल्वालिंग
Which is the biggest Planet?,Jupiter
Who is the last Malla Ruler of Bhaktapur?,Ranajit Malla
सिद्धार्थ गौतम (भगवान बुद्ध) को श्रीमतीको नाम के हो ?,यसोधरा
भगवान Gautam Buddha को जन्म नेपालको कुन ठाउमा भएको हो ?,Lumbini
गण्डकी सम्जौता कहिले भयो ?,२०१६ मंसिर १८
कौटिल्यको अर्थशास्त्रमा अर्थशास्त्रको परिचय परिचयको साथै दिईएका कुन बिषयमा गहन बिबेचना गरिएको थियो?,सबै उत्तर ठिक छन्
देहायका मध्ये विकेन्द्रीकारण विसेस्ता केलाई भनिन्छ ?,माथिका सबै
निजीकरणका लागि दबाब दिने तत्व कुन हो ?,माथिका सबै
हाल नेपालको सबैभन्दा बढी मात्रामा निर्यात हुने बस्तु कुन हो ?(Till the data of 2014) ,बनष्पति घ्यु
बेलायतमा निजीकरण गरिएको पहिलो सस्थान कुन हो ?,ब्रिटिस पेट्रोलीयम निगम
 लहरेखोकी रोगको सङ्क्रमणकाल कति दिन हुन्छ ?,७-१४
सन् २०१४ को FIFA विश्वकप बिजेता राष्ट्र जर्मनीले कुन राष्ट्रलाई हराएर बिजेता भएको थियो ?,Argentina
भेडामा नस्ल सुधारका उपाय पत्ता लगाउने बैज्ञानिक को हुन् ?,रबर्टवेक बेल
प्यासिफिक एसिया ट्राभल एसोसिएसन (पाटा) द्वारा सन् २०१९ अक्टोबरमा सार्वजनिक तथ्याङ्कअनुसार पर्यटक वृद्धिदरमा एसिया प्रशान्त क्षेत्रमा पहिलो स्थानमा रहन सफल राष्ट्र कुन हो ?,नेपाल
नेपाल भारत संयुक्त आयोगको बैठकमा सहभागी भारतीय विदेशमन्त्री एसजयशंकर दुइ दिने  काठमाडौँ भ्रमणमा कहिले आएका थिए?,२०७६ भाद्र ४
